"","X","participant_id","option_chosen","problem_number","running_number","trial_number","cond","a.b.f","b.b.f","a.se.f","b.se.f","a_be","pa_be","a_se","pa_se","b_be","pb_be","b_se","pb_se","de_gap_rule"
"3526",3526,30,0,76,46,42,"desc",NA,NA,NA,NA,9,0.794,5,0.2,9,0.837,10,0.018,0.166666666666667
"3527",3527,30,1,77,47,36,"desc",NA,NA,NA,NA,10,0.741,10,0.02,10,0.571,2,0.198,0.166666666666667
"3528",3528,30,1,79,48,44,"desc",NA,NA,NA,NA,5,0.733,4,0.167,5,0.799,10,0.038,0.166666666666667
"3529",3529,30,1,80,49,10,"desc",NA,NA,NA,NA,2,0.812,5,0.037,2,0.817,3,0.199,0.166666666666667
"3530",3530,30,1,81,50,7,"desc",NA,NA,NA,NA,3,0.626,2,0.205,3,0.571,10,0.027,0.166666666666667
"3531",3531,30,0,83,51,16,"desc",NA,NA,NA,NA,3,0.742,10,0.052,3,0.688,5,0.112,0.166666666666667
"3532",3532,30,0,84,52,5,"desc",NA,NA,NA,NA,3,0.595,3,0.187,3,0.669,5,0.065,0.166666666666667
"3533",3533,30,0,85,53,50,"desc",NA,NA,NA,NA,9,0.668,4,0.153,9,0.846,5,0.082,0.166666666666667
"3534",3534,30,0,86,54,14,"desc",NA,NA,NA,NA,2,0.716,5,0.074,2,0.676,2,0.176,0.166666666666667
"3535",3535,30,0,90,55,8,"desc",NA,NA,NA,NA,7,0.832,5,0.118,7,0.903,2,0.193,0.166666666666667
"3536",3536,30,0,92,56,33,"desc",NA,NA,NA,NA,9,0.793,10,0.013,9,0.637,5,0.089,0.166666666666667
"3537",3537,30,0,95,57,19,"desc",NA,NA,NA,NA,3,0.604,10,0.043,3,0.514,8,0.071,0.166666666666667
"3538",3538,30,1,96,58,30,"desc",NA,NA,NA,NA,9,0.703,5,0.066,9,0.597,3,0.158,0.166666666666667
"3539",3539,30,0,99,59,47,"desc",NA,NA,NA,NA,4,0.596,5,0.137,4,0.736,10,0.075,0.166666666666667
"3540",3540,30,1,100,60,26,"desc",NA,NA,NA,NA,3,0.761,2,0.276,3,0.716,10,0.056,0.166666666666667
"3541",3541,30,0,2,1,14,"exp",0.916666666666667,0.8,0,0.4,3,0.88,6,0.114,3,0.733,3,0.178,0.166666666666667
"3542",3542,30,1,3,2,2,"exp",0.428571428571429,0.5,0.285714285714286,0,9,0.68,2,0.251,9,0.614,10,0.051,0.166666666666667
"3543",3543,30,0,5,3,7,"exp",0.714285714285714,0.666666666666667,0.142857142857143,0.333333333333333,10,0.905,10,0.074,10,0.709,2,0.205,0.166666666666667
"3544",3544,30,0,8,4,12,"exp",0.166666666666667,0.555555555555556,0,0,3,0.545,10,0.067,3,0.694,10,0.026,0.166666666666667
"3545",3545,30,1,10,5,6,"exp",1,0.8,0.666666666666667,0.1,10,0.921,2,0.226,10,0.73,5,0.089,0.166666666666667
"3546",3546,30,0,11,6,60,"exp",0.6,0.75,0,0.25,2,0.644,8,0.02,2,0.914,4,0.14,0.166666666666667
"3547",3547,30,0,12,7,1,"exp",0,1,0.666666666666667,0,3,0.688,6,0.122,3,0.706,10,0.024,0.166666666666667
"3548",3548,30,0,13,8,22,"exp",0.75,0.888888888888889,0.25,0.222222222222222,9,0.635,5,0.157,9,0.611,5,0.092,0.166666666666667
"3549",3549,30,0,14,9,25,"exp",0.6,0.833333333333333,0.2,0,3,0.511,5,0.049,3,0.778,10,0.054,0.166666666666667
"3550",3550,30,1,15,10,53,"exp",1,0.6,0.333333333333333,0.2,3,0.675,2,0.105,3,0.775,6,0.176,0.166666666666667
"3551",3551,30,1,16,11,13,"exp",0.8125,0.8,0,0.2,9,0.836,10,0.014,9,0.703,5,0.185,0.166666666666667
"3552",3552,30,1,17,12,39,"exp",0.857142857142857,0.428571428571429,0,0,2,0.922,10,0.062,2,0.563,5,0.056,0.166666666666667
"3553",3553,30,0,18,13,57,"exp",0.571428571428571,0.8,0,0,4,0.584,10,0.015,4,0.658,10,0.027,0.166666666666667
"3554",3554,30,0,19,14,51,"exp",0.714285714285714,0.875,0.285714285714286,0.125,5,0.804,5,0.064,5,0.889,4,0.163,0.166666666666667
"3555",3555,30,1,22,15,11,"exp",0.666666666666667,0.666666666666667,0.166666666666667,0.333333333333333,9,0.642,2,0.213,9,0.902,10,0.042,0.166666666666667
"3556",3556,30,1,23,16,29,"exp",0.909090909090909,0.571428571428571,0,0.142857142857143,4,0.828,5,0.033,4,0.81,3,0.104,0.166666666666667
"3557",3557,30,0,26,17,17,"exp",0.8,0.888888888888889,0.4,0,9,0.645,3,0.215,9,0.8,2,0.188,0.166666666666667
"3558",3558,30,1,27,18,56,"exp",0.428571428571429,1,0,0.166666666666667,5,0.517,8,0.085,5,0.835,10,0.072,0.166666666666667
"3559",3559,30,1,28,19,18,"exp",0.888888888888889,1,0,0,9,0.9,10,0.012,9,0.786,4,0.181,0.166666666666667
"3560",3560,30,1,29,20,59,"exp",0.6,0.75,0,0.25,4,0.676,6,0.058,4,0.571,2,0.218,0.166666666666667
"3561",3561,30,0,31,21,45,"exp",0.25,0.5,0.25,0.125,5,0.769,6,0.091,5,0.681,5,0.219,0.166666666666667
"3562",3562,30,0,32,22,36,"exp",0.8,0.833333333333333,0,0,5,0.86,3,0.132,5,0.782,10,0.014,0.166666666666667
"3563",3563,30,1,34,23,58,"exp",0.8,1,0,0.333333333333333,4,0.596,5,0.145,4,0.944,8,0.135,0.166666666666667
"3564",3564,30,0,35,24,30,"exp",0.8,0.727272727272727,0,0,3,0.575,10,0.014,3,0.724,5,0.183,0.166666666666667
"3565",3565,30,1,36,25,47,"exp",1,0.571428571428571,0,0,7,0.791,10,0.019,7,0.631,10,0.019,0.166666666666667
"3566",3566,30,1,39,26,35,"exp",1,0.571428571428571,0.2,0,10,0.752,4,0.146,10,0.624,10,0.037,0.166666666666667
"3567",3567,30,0,42,27,44,"exp",0.571428571428571,0.857142857142857,0.285714285714286,0.142857142857143,9,0.561,3,0.199,9,0.824,6,0.151,0.166666666666667
"3568",3568,30,0,43,28,8,"exp",0.4,0.833333333333333,0.2,0,7,0.767,8,0.03,7,0.871,8,0.117,0.166666666666667
"3569",3569,30,1,44,29,26,"exp",0.8,0.818181818181818,0,0,3,0.766,6,0.083,3,0.635,4,0.136,0.166666666666667
"3570",3570,30,1,45,30,27,"exp",0.666666666666667,0.833333333333333,0.166666666666667,0.166666666666667,4,0.609,2,0.164,4,0.691,3,0.081,0.166666666666667
"3571",3571,30,0,48,31,23,"exp",0.857142857142857,1,0.142857142857143,0.333333333333333,7,0.754,10,0.088,7,0.833,6,0.235,0.166666666666667
"3572",3572,30,1,53,32,19,"exp",0.625,0.857142857142857,0,0,4,0.713,10,0.01,4,0.763,10,0.041,0.166666666666667
"3573",3573,30,0,54,33,55,"exp",0.4,0.714285714285714,0.4,0.142857142857143,9,0.659,2,0.227,9,0.594,5,0.134,0.166666666666667
"3574",3574,30,1,56,34,54,"exp",1,0.666666666666667,0,0,5,0.77,10,0.016,5,0.62,5,0.091,0.166666666666667
"3575",3575,30,0,57,35,21,"exp",0,0.8,0,0,3,0.645,5,0.137,3,0.677,8,0.017,0.166666666666667
"3576",3576,30,1,59,36,37,"exp",0.666666666666667,0.727272727272727,0.111111111111111,0,9,0.569,6,0.16,9,0.795,10,0.071,0.166666666666667
"3577",3577,30,0,60,37,48,"exp",0.75,0.857142857142857,0.25,0.142857142857143,9,0.566,8,0.06,9,0.766,6,0.192,0.166666666666667
"3578",3578,30,1,61,38,52,"exp",0.875,0.666666666666667,0.125,0,3,0.86,10,0.104,3,0.659,4,0.138,0.166666666666667
"3579",3579,30,0,65,39,33,"exp",0.6,0.833333333333333,0,0,10,0.571,2,0.261,10,0.514,10,0.014,0.166666666666667
"3580",3580,30,0,67,40,10,"exp",1,0.533333333333333,0.2,0.0666666666666667,9,0.711,8,0.145,9,0.536,2,0.139,0.166666666666667
"3581",3581,30,1,68,41,49,"exp",1,0.75,0,0.25,7,0.845,2,0.162,7,0.869,5,0.068,0.166666666666667
"3582",3582,30,1,70,42,50,"exp",0.777777777777778,0.833333333333333,0,0.333333333333333,5,0.556,10,0.029,5,0.715,8,0.105,0.166666666666667
"3583",3583,30,0,71,43,3,"exp",0.625,0.714285714285714,0,0,10,0.606,8,0.036,10,0.577,4,0.105,0.166666666666667
"3584",3584,30,1,73,44,46,"exp",0.714285714285714,0.545454545454545,0.285714285714286,0,4,0.703,3,0.162,4,0.756,5,0.103,0.166666666666667
"3585",3585,30,0,74,45,20,"exp",0.714285714285714,0.714285714285714,0,0.142857142857143,3,0.693,8,0.031,3,0.708,3,0.18,0.166666666666667
"3586",3586,30,1,76,46,32,"exp",0.875,0.777777777777778,0.25,0,9,0.794,5,0.2,9,0.837,10,0.018,0.166666666666667
"3587",3587,30,1,77,47,31,"exp",0.875,0.6,0,0.2,10,0.741,10,0.02,10,0.571,2,0.198,0.166666666666667
"3588",3588,30,1,79,48,41,"exp",1,0.857142857142857,0.2,0,5,0.733,4,0.167,5,0.799,10,0.038,0.166666666666667
"3589",3589,30,1,80,49,24,"exp",0.857142857142857,0.875,0,0.375,2,0.812,5,0.037,2,0.817,3,0.199,0.166666666666667
"3590",3590,30,1,81,50,43,"exp",0.75,0.666666666666667,0.25,0,3,0.626,2,0.205,3,0.571,10,0.027,0.166666666666667
"3591",3591,30,0,83,51,4,"exp",0.833333333333333,0.833333333333333,0.166666666666667,0,3,0.742,10,0.052,3,0.688,5,0.112,0.166666666666667
"3592",3592,30,1,84,52,16,"exp",0.6,0.833333333333333,0.2,0,3,0.595,3,0.187,3,0.669,5,0.065,0.166666666666667
"3593",3593,30,0,85,53,34,"exp",0.75,1,0.25,0.333333333333333,9,0.668,4,0.153,9,0.846,5,0.082,0.166666666666667
"3594",3594,30,0,86,54,15,"exp",0.857142857142857,0.2,0.142857142857143,0.2,2,0.716,5,0.074,2,0.676,2,0.176,0.166666666666667
"3595",3595,30,0,90,55,9,"exp",0.857142857142857,1,0.285714285714286,0.25,7,0.832,5,0.118,7,0.903,2,0.193,0.166666666666667
"3596",3596,30,0,92,56,40,"exp",1,1,0,0.333333333333333,9,0.793,10,0.013,9,0.637,5,0.089,0.166666666666667
"3597",3597,30,1,95,57,42,"exp",0.666666666666667,0.571428571428571,0,0,3,0.604,10,0.043,3,0.514,8,0.071,0.166666666666667
"3598",3598,30,0,96,58,38,"exp",0.875,0.75,0,0.25,9,0.703,5,0.066,9,0.597,3,0.158,0.166666666666667
"3599",3599,30,0,99,59,28,"exp",0.5,1,0,0,4,0.596,5,0.137,4,0.736,10,0.075,0.166666666666667
"3600",3600,30,1,100,60,5,"exp",0.833333333333333,0.6,0.333333333333333,0,3,0.761,2,0.276,3,0.716,10,0.056,0.166666666666667
"3601",3601,31,0,2,1,11,"desc",NA,NA,NA,NA,4,0.88,6,0.114,4,0.733,3,0.178,0.266666666666667
"3602",3602,31,1,3,2,13,"desc",NA,NA,NA,NA,10,0.68,2,0.251,10,0.614,10,0.051,0.266666666666667
"3603",3603,31,0,5,3,31,"desc",NA,NA,NA,NA,10,0.905,10,0.074,10,0.709,2,0.205,0.266666666666667
"3604",3604,31,0,8,4,34,"desc",NA,NA,NA,NA,2,0.545,10,0.067,2,0.694,7,0.026,0.266666666666667
"3605",3605,31,1,10,5,26,"desc",NA,NA,NA,NA,10,0.921,2,0.226,10,0.73,3,0.089,0.266666666666667
"3606",3606,31,0,11,6,20,"desc",NA,NA,NA,NA,2,0.644,9,0.02,2,0.914,2,0.14,0.266666666666667
"3607",3607,31,0,12,7,1,"desc",NA,NA,NA,NA,4,0.688,6,0.122,4,0.706,7,0.024,0.266666666666667
"3608",3608,31,0,13,8,37,"desc",NA,NA,NA,NA,10,0.635,3,0.157,10,0.611,2,0.092,0.266666666666667
"3609",3609,31,1,14,9,41,"desc",NA,NA,NA,NA,4,0.511,3,0.049,4,0.778,10,0.054,0.266666666666667
"3610",3610,31,1,15,10,38,"desc",NA,NA,NA,NA,4,0.675,2,0.105,4,0.775,6,0.176,0.266666666666667
"3611",3611,31,0,16,11,42,"desc",NA,NA,NA,NA,10,0.836,7,0.014,10,0.703,2,0.185,0.266666666666667
"3612",3612,31,0,17,12,43,"desc",NA,NA,NA,NA,2,0.922,10,0.062,2,0.563,2,0.056,0.266666666666667
"3613",3613,31,0,18,13,45,"desc",NA,NA,NA,NA,8,0.584,10,0.015,8,0.658,10,0.027,0.266666666666667
"3614",3614,31,0,19,14,53,"desc",NA,NA,NA,NA,4,0.804,3,0.064,4,0.889,2,0.163,0.266666666666667
"3615",3615,31,1,22,15,5,"desc",NA,NA,NA,NA,10,0.642,2,0.213,10,0.902,10,0.042,0.266666666666667
"3616",3616,31,1,23,16,47,"desc",NA,NA,NA,NA,8,0.828,3,0.033,8,0.81,3,0.104,0.266666666666667
"3617",3617,31,0,26,17,9,"desc",NA,NA,NA,NA,10,0.645,3,0.215,10,0.8,2,0.188,0.266666666666667
"3618",3618,31,1,27,18,25,"desc",NA,NA,NA,NA,4,0.517,9,0.085,4,0.835,10,0.072,0.266666666666667
"3619",3619,31,1,28,19,18,"desc",NA,NA,NA,NA,10,0.9,7,0.012,10,0.786,2,0.181,0.266666666666667
"3620",3620,31,1,29,20,52,"desc",NA,NA,NA,NA,8,0.676,6,0.058,8,0.571,2,0.218,0.266666666666667
"3621",3621,31,1,31,21,58,"desc",NA,NA,NA,NA,4,0.769,6,0.091,4,0.681,2,0.219,0.266666666666667
"3622",3622,31,0,32,22,35,"desc",NA,NA,NA,NA,4,0.86,3,0.132,4,0.782,7,0.014,0.266666666666667
"3623",3623,31,0,34,23,55,"desc",NA,NA,NA,NA,8,0.596,2,0.145,8,0.944,9,0.135,0.266666666666667
"3624",3624,31,0,35,24,30,"desc",NA,NA,NA,NA,2,0.575,7,0.014,2,0.724,3,0.183,0.266666666666667
"3625",3625,31,1,36,25,32,"desc",NA,NA,NA,NA,8,0.791,7,0.019,8,0.631,10,0.019,0.266666666666667
"3626",3626,31,1,39,26,7,"desc",NA,NA,NA,NA,10,0.752,2,0.146,10,0.624,10,0.037,0.266666666666667
"3627",3627,31,0,42,27,23,"desc",NA,NA,NA,NA,10,0.561,3,0.199,10,0.824,6,0.151,0.266666666666667
"3628",3628,31,1,43,28,6,"desc",NA,NA,NA,NA,8,0.767,9,0.03,8,0.871,9,0.117,0.266666666666667
"3629",3629,31,1,44,29,19,"desc",NA,NA,NA,NA,4,0.766,6,0.083,4,0.635,2,0.136,0.266666666666667
"3630",3630,31,0,45,30,50,"desc",NA,NA,NA,NA,8,0.609,2,0.164,8,0.691,3,0.081,0.266666666666667
"3631",3631,31,0,48,31,57,"desc",NA,NA,NA,NA,8,0.754,10,0.088,8,0.833,6,0.235,0.266666666666667
"3632",3632,31,1,53,32,51,"desc",NA,NA,NA,NA,8,0.713,7,0.01,8,0.763,10,0.041,0.266666666666667
"3633",3633,31,1,54,33,4,"desc",NA,NA,NA,NA,10,0.659,2,0.227,10,0.594,2,0.134,0.266666666666667
"3634",3634,31,0,56,34,59,"desc",NA,NA,NA,NA,8,0.77,10,0.016,8,0.62,2,0.091,0.266666666666667
"3635",3635,31,1,57,35,24,"desc",NA,NA,NA,NA,2,0.645,3,0.137,2,0.677,9,0.017,0.266666666666667
"3636",3636,31,1,59,36,48,"desc",NA,NA,NA,NA,10,0.569,6,0.16,10,0.795,7,0.071,0.266666666666667
"3637",3637,31,0,60,37,29,"desc",NA,NA,NA,NA,10,0.566,9,0.06,10,0.766,6,0.192,0.266666666666667
"3638",3638,31,0,61,38,21,"desc",NA,NA,NA,NA,2,0.86,10,0.104,2,0.659,2,0.138,0.266666666666667
"3639",3639,31,0,65,39,8,"desc",NA,NA,NA,NA,10,0.571,2,0.261,10,0.514,7,0.014,0.266666666666667
"3640",3640,31,1,67,40,36,"desc",NA,NA,NA,NA,10,0.711,9,0.145,10,0.536,2,0.139,0.266666666666667
"3641",3641,31,1,68,41,44,"desc",NA,NA,NA,NA,8,0.845,2,0.162,8,0.869,2,0.068,0.266666666666667
"3642",3642,31,0,70,42,40,"desc",NA,NA,NA,NA,8,0.556,7,0.029,8,0.715,9,0.105,0.266666666666667
"3643",3643,31,0,71,43,16,"desc",NA,NA,NA,NA,10,0.606,9,0.036,10,0.577,2,0.105,0.266666666666667
"3644",3644,31,0,73,44,54,"desc",NA,NA,NA,NA,8,0.703,3,0.162,8,0.756,3,0.103,0.266666666666667
"3645",3645,31,0,74,45,33,"desc",NA,NA,NA,NA,4,0.693,9,0.031,4,0.708,3,0.18,0.266666666666667
"3646",3646,31,0,76,46,14,"desc",NA,NA,NA,NA,10,0.794,3,0.2,10,0.837,7,0.018,0.266666666666667
"3647",3647,31,1,77,47,39,"desc",NA,NA,NA,NA,10,0.741,7,0.02,10,0.571,2,0.198,0.266666666666667
"3648",3648,31,1,79,48,10,"desc",NA,NA,NA,NA,8,0.733,2,0.167,8,0.799,10,0.038,0.266666666666667
"3649",3649,31,0,80,49,27,"desc",NA,NA,NA,NA,2,0.812,2,0.037,2,0.817,3,0.199,0.266666666666667
"3650",3650,31,1,81,50,28,"desc",NA,NA,NA,NA,4,0.626,2,0.205,4,0.571,10,0.027,0.266666666666667
"3651",3651,31,0,83,51,22,"desc",NA,NA,NA,NA,2,0.742,10,0.052,2,0.688,3,0.112,0.266666666666667
"3652",3652,31,0,84,52,12,"desc",NA,NA,NA,NA,2,0.595,3,0.187,2,0.669,2,0.065,0.266666666666667
"3653",3653,31,1,85,53,46,"desc",NA,NA,NA,NA,10,0.668,2,0.153,10,0.846,2,0.082,0.266666666666667
"3654",3654,31,1,86,54,3,"desc",NA,NA,NA,NA,2,0.716,2,0.074,2,0.676,2,0.176,0.266666666666667
"3655",3655,31,0,90,55,56,"desc",NA,NA,NA,NA,8,0.832,3,0.118,8,0.903,2,0.193,0.266666666666667
"3656",3656,31,1,92,56,49,"desc",NA,NA,NA,NA,10,0.793,7,0.013,10,0.637,3,0.089,0.266666666666667
"3657",3657,31,0,95,57,15,"desc",NA,NA,NA,NA,2,0.604,10,0.043,2,0.514,9,0.071,0.266666666666667
"3658",3658,31,1,96,58,2,"desc",NA,NA,NA,NA,10,0.703,3,0.066,10,0.597,3,0.158,0.266666666666667
"3659",3659,31,1,99,59,60,"desc",NA,NA,NA,NA,8,0.596,3,0.137,8,0.736,10,0.075,0.266666666666667
"3660",3660,31,1,100,60,17,"desc",NA,NA,NA,NA,4,0.761,2,0.276,4,0.716,7,0.056,0.266666666666667
"3661",3661,31,1,2,1,42,"exp",1,0.625,0.285714285714286,0.125,4,0.88,6,0.114,4,0.733,3,0.178,0.266666666666667
"3662",3662,31,1,3,2,34,"exp",0.636363636363636,0.454545454545455,0.454545454545455,0.0454545454545455,10,0.68,2,0.251,10,0.614,10,0.051,0.266666666666667
"3663",3663,31,0,5,3,10,"exp",0.959183673469388,0.727272727272727,0.0204081632653061,0.136363636363636,10,0.905,10,0.074,10,0.709,2,0.205,0.266666666666667
"3664",3664,31,0,8,4,2,"exp",0.5,0.678571428571429,0.0333333333333333,0,2,0.545,10,0.067,2,0.694,7,0.026,0.266666666666667
"3665",3665,31,1,10,5,41,"exp",1,0.611111111111111,0.4,0.0555555555555556,10,0.921,2,0.226,10,0.73,3,0.089,0.266666666666667
"3666",3666,31,0,11,6,14,"exp",0.566666666666667,1,0.0333333333333333,0.166666666666667,2,0.644,9,0.02,2,0.914,2,0.14,0.266666666666667
"3667",3667,31,0,12,7,32,"exp",0.571428571428571,0.571428571428571,0.142857142857143,0.142857142857143,4,0.688,6,0.122,4,0.706,7,0.024,0.266666666666667
"3668",3668,31,1,13,8,29,"exp",0.666666666666667,0.75,0.25,0.375,10,0.635,3,0.157,10,0.611,2,0.092,0.266666666666667
"3669",3669,31,1,14,9,15,"exp",0.545454545454545,0.666666666666667,0.0909090909090909,0.166666666666667,4,0.511,3,0.049,4,0.778,10,0.054,0.266666666666667
"3670",3670,31,1,15,10,13,"exp",0.75,0.952380952380952,0.1,0.19047619047619,4,0.675,2,0.105,4,0.775,6,0.176,0.266666666666667
"3671",3671,31,1,16,11,18,"exp",1,0.75,0.111111111111111,0.25,10,0.836,7,0.014,10,0.703,2,0.185,0.266666666666667
"3672",3672,31,0,17,12,8,"exp",0.857142857142857,0.594594594594595,0.285714285714286,0.027027027027027,2,0.922,10,0.062,2,0.563,2,0.056,0.266666666666667
"3673",3673,31,1,18,13,58,"exp",0,0.576923076923077,0,0.0384615384615385,8,0.584,10,0.015,8,0.658,10,0.027,0.266666666666667
"3674",3674,31,1,19,14,30,"exp",0.9,0.916666666666667,0.1,0.0833333333333333,4,0.804,3,0.064,4,0.889,2,0.163,0.266666666666667
"3675",3675,31,1,22,15,21,"exp",0.615384615384615,0.897959183673469,0.153846153846154,0.0204081632653061,10,0.642,2,0.213,10,0.902,10,0.042,0.266666666666667
"3676",3676,31,0,23,16,33,"exp",1,0.75,0.0909090909090909,0.0357142857142857,8,0.828,3,0.033,8,0.81,3,0.104,0.266666666666667
"3677",3677,31,1,26,17,40,"exp",0.857142857142857,0.727272727272727,0.142857142857143,0.545454545454545,10,0.645,3,0.215,10,0.8,2,0.188,0.266666666666667
"3678",3678,31,1,27,18,50,"exp",0.5,0.842105263157895,0.0625,0.0526315789473684,4,0.517,9,0.085,4,0.835,10,0.072,0.266666666666667
"3679",3679,31,1,28,19,39,"exp",0.922077922077922,1,0.012987012987013,0.25,10,0.9,7,0.012,10,0.786,2,0.181,0.266666666666667
"3680",3680,31,0,29,20,26,"exp",0.7,0.7,0.1,0.2,8,0.676,6,0.058,8,0.571,2,0.218,0.266666666666667
"3681",3681,31,0,31,21,31,"exp",0.666666666666667,0.615384615384615,0.111111111111111,0.384615384615385,4,0.769,6,0.091,4,0.681,2,0.219,0.266666666666667
"3682",3682,31,1,32,22,36,"exp",1,0.727272727272727,0.333333333333333,0.181818181818182,4,0.86,3,0.132,4,0.782,7,0.014,0.266666666666667
"3683",3683,31,1,34,23,23,"exp",0.615384615384615,0.923076923076923,0.0769230769230769,0.0769230769230769,8,0.596,2,0.145,8,0.944,9,0.135,0.266666666666667
"3684",3684,31,1,35,24,4,"exp",0.482758620689655,0.769230769230769,0.0344827586206897,0.307692307692308,2,0.575,7,0.014,2,0.724,3,0.183,0.266666666666667
"3685",3685,31,1,36,25,59,"exp",0.887096774193548,0,0.0161290322580645,0,8,0.791,7,0.019,8,0.631,10,0.019,0.266666666666667
"3686",3686,31,1,39,26,1,"exp",0.823529411764706,0.8,0.235294117647059,0.2,10,0.752,2,0.146,10,0.624,10,0.037,0.266666666666667
"3687",3687,31,1,42,27,43,"exp",0,0.9,0,0.2,10,0.561,3,0.199,10,0.824,6,0.151,0.266666666666667
"3688",3688,31,1,43,28,5,"exp",0.847826086956522,0.846153846153846,0.0217391304347826,0.0769230769230769,8,0.767,9,0.03,8,0.871,9,0.117,0.266666666666667
"3689",3689,31,0,44,29,48,"exp",0.666666666666667,0.7,0.166666666666667,0.1,4,0.766,6,0.083,4,0.635,2,0.136,0.266666666666667
"3690",3690,31,1,45,30,28,"exp",0.615384615384615,0.727272727272727,0.230769230769231,0.0909090909090909,8,0.609,2,0.164,8,0.691,3,0.081,0.266666666666667
"3691",3691,31,0,48,31,11,"exp",0.833333333333333,0.7,0.125,0.2,8,0.754,10,0.088,8,0.833,6,0.235,0.266666666666667
"3692",3692,31,1,53,32,22,"exp",0.704225352112676,0.857142857142857,0,0.142857142857143,8,0.713,7,0.01,8,0.763,10,0.041,0.266666666666667
"3693",3693,31,1,54,33,52,"exp",0.416666666666667,0.454545454545455,0.25,0.0909090909090909,10,0.659,2,0.227,10,0.594,2,0.134,0.266666666666667
"3694",3694,31,1,56,34,12,"exp",0.810810810810811,0.5,0.0135135135135135,0.285714285714286,8,0.77,10,0.016,8,0.62,2,0.091,0.266666666666667
"3695",3695,31,1,57,35,38,"exp",0.625,0.722222222222222,0.03125,0.0555555555555556,2,0.645,3,0.137,2,0.677,9,0.017,0.266666666666667
"3696",3696,31,1,59,36,6,"exp",1,0.791666666666667,0.25,0.0416666666666667,10,0.569,6,0.16,10,0.795,7,0.071,0.266666666666667
"3697",3697,31,1,60,37,53,"exp",0.731707317073171,0.75,0,0.166666666666667,10,0.566,9,0.06,10,0.766,6,0.192,0.266666666666667
"3698",3698,31,0,61,38,17,"exp",0.75,0.771428571428571,0.25,0.0857142857142857,2,0.86,10,0.104,2,0.659,2,0.138,0.266666666666667
"3699",3699,31,1,65,39,35,"exp",0.642857142857143,0.521739130434783,0.0714285714285714,0.0217391304347826,10,0.571,2,0.261,10,0.514,7,0.014,0.266666666666667
"3700",3700,31,0,67,40,20,"exp",0.733333333333333,0.8,0.133333333333333,0.4,10,0.711,9,0.145,10,0.536,2,0.139,0.266666666666667
"3701",3701,31,0,68,41,45,"exp",0.8,0.875,0.2,0.125,8,0.845,2,0.162,8,0.869,2,0.068,0.266666666666667
"3702",3702,31,1,70,42,16,"exp",0.551020408163265,0.5,0.0408163265306122,0.25,8,0.556,7,0.029,8,0.715,9,0.105,0.266666666666667
"3703",3703,31,0,71,43,27,"exp",0.666666666666667,0.666666666666667,0.0222222222222222,0.166666666666667,10,0.606,9,0.036,10,0.577,2,0.105,0.266666666666667
"3704",3704,31,1,73,44,25,"exp",1,0.777777777777778,0.2,0.222222222222222,8,0.703,3,0.162,8,0.756,3,0.103,0.266666666666667
"3705",3705,31,0,74,45,19,"exp",0.7,0.9,0.1,0.1,4,0.693,9,0.031,4,0.708,3,0.18,0.266666666666667
"3706",3706,31,1,76,46,44,"exp",0.875,0.80327868852459,0.125,0,10,0.794,3,0.2,10,0.837,7,0.018,0.266666666666667
"3707",3707,31,0,77,47,37,"exp",0.857142857142857,0.578947368421053,0.142857142857143,0.105263157894737,10,0.741,7,0.02,10,0.571,2,0.198,0.266666666666667
"3708",3708,31,1,79,48,24,"exp",0.8,0.911764705882353,0.2,0.0294117647058824,8,0.733,2,0.167,8,0.799,10,0.038,0.266666666666667
"3709",3709,31,0,80,49,49,"exp",0.666666666666667,0.733333333333333,0.111111111111111,0.133333333333333,2,0.812,2,0.037,2,0.817,3,0.199,0.266666666666667
"3710",3710,31,1,81,50,56,"exp",0.5,0.490384615384615,0.166666666666667,0.00961538461538462,4,0.626,2,0.205,4,0.571,10,0.027,0.266666666666667
"3711",3711,31,0,83,51,47,"exp",0.7,0,0.025,0,2,0.742,10,0.052,2,0.688,3,0.112,0.266666666666667
"3712",3712,31,0,84,52,7,"exp",0.428571428571429,0.75,0.142857142857143,0.125,2,0.595,3,0.187,2,0.669,2,0.065,0.266666666666667
"3713",3713,31,0,85,53,3,"exp",0.818181818181818,0.583333333333333,0.181818181818182,0.0833333333333333,10,0.668,2,0.153,10,0.846,2,0.082,0.266666666666667
"3714",3714,31,0,86,54,54,"exp",0.705882352941177,0.666666666666667,0.0196078431372549,0.333333333333333,2,0.716,2,0.074,2,0.676,2,0.176,0.266666666666667
"3715",3715,31,0,90,55,46,"exp",0.733333333333333,0.888888888888889,0.0333333333333333,0.222222222222222,8,0.832,3,0.118,8,0.903,2,0.193,0.266666666666667
"3716",3716,31,0,92,56,9,"exp",0.838709677419355,0.6,0.032258064516129,0.2,10,0.793,7,0.013,10,0.637,3,0.089,0.266666666666667
"3717",3717,31,0,95,57,57,"exp",0.666666666666667,0.333333333333333,0.166666666666667,0.333333333333333,2,0.604,10,0.043,2,0.514,9,0.071,0.266666666666667
"3718",3718,31,1,96,58,60,"exp",0.577777777777778,0.416666666666667,0.0444444444444444,0.0833333333333333,10,0.703,3,0.066,10,0.597,3,0.158,0.266666666666667
"3719",3719,31,1,99,59,55,"exp",1,0.75,0.666666666666667,0.0625,8,0.596,3,0.137,8,0.736,10,0.075,0.266666666666667
